"LOCATION";"PR_LOCATION";"SYSTEM";"LOCATIONCODE";"PARENT";"DESCRIPTION";"TYPE";"STE_MIGRATIONID";"STE_MIGRATIONSOURCE";"ID"
L100000011752;;TRAIN;ELO01/DC;ELO01;;TRAIN;11653;FILE;19
L100000011854;;TRAIN;ELO01/PC;ELO01;;TRAIN;11755;FILE;20
L100000011956;;TRAIN;ELO01/RF;ELO01;;TRAIN;11857;FILE;21
L100000012058;;TRAIN;ELO01/UF;ELO01;;TRAIN;11959;FILE;22
L100000012160;;TRAIN;ELO02/DC;ELO02;;TRAIN;12061;FILE;23
L100000012262;;TRAIN;ELO02/PC;ELO02;;TRAIN;12163;FILE;24
L100000012364;;TRAIN;ELO02/RF;ELO02;;TRAIN;12265;FILE;25
L100000012466;;TRAIN;ELO02/UF;ELO02;;TRAIN;12367;FILE;26
L100000012568;;TRAIN;ELO03/DC;ELO03;;TRAIN;12469;FILE;27
L100000012670;;TRAIN;ELO03/PC;ELO03;;TRAIN;12571;FILE;28
L100000012772;;TRAIN;ELO03/RF;ELO03;;TRAIN;12673;FILE;29
L100000012874;;TRAIN;ELO03/UF;ELO03;;TRAIN;12775;FILE;30
L100000012976;;TRAIN;ELO04/DC;ELO04;;TRAIN;12877;FILE;31
L100000013078;;TRAIN;ELO04/PC;ELO04;;TRAIN;12979;FILE;32
L100000013180;;TRAIN;ELO04/RF;ELO04;;TRAIN;13081;FILE;33
L100000013282;;TRAIN;ELO04/UF;ELO04;;TRAIN;13183;FILE;34
L100000013384;;TRAIN;ELO05/DC;ELO05;;TRAIN;13285;FILE;35
L100000013486;;TRAIN;ELO05/PC;ELO05;;TRAIN;13387;FILE;36
L100000013588;;TRAIN;ELO05/RF;ELO05;;TRAIN;13489;FILE;37
L100000013690;;TRAIN;ELO05/UF;ELO05;;TRAIN;13591;FILE;38
L100000013792;;TRAIN;ELO06/DC;ELO06;;TRAIN;13693;FILE;39
L100000013894;;TRAIN;ELO06/PC;ELO06;;TRAIN;13795;FILE;40
L100000013996;;TRAIN;ELO06/RF;ELO06;;TRAIN;13897;FILE;41
L100000014098;;TRAIN;ELO06/UF;ELO06;;TRAIN;13999;FILE;42
L100000014200;;TRAIN;ELO07/DC;ELO07;;TRAIN;14101;FILE;43
L100000014302;;TRAIN;ELO07/PC;ELO07;;TRAIN;14203;FILE;44
L100000014404;;TRAIN;ELO07/RF;ELO07;;TRAIN;14305;FILE;45
L100000014506;;TRAIN;ELO07/UF;ELO07;;TRAIN;14407;FILE;46
L100000014608;;TRAIN;ELO08/DC;ELO08;;TRAIN;14509;FILE;47
L100000014710;;TRAIN;ELO08/PC;ELO08;;TRAIN;14611;FILE;48
L100000014812;;TRAIN;ELO08/RF;ELO08;;TRAIN;14713;FILE;49
L100000014914;;TRAIN;ELO08/UF;ELO08;;TRAIN;14815;FILE;50
L100000016278;;DEPOT;NED/PWYSID/01;NED/PWYSID;North East Line Depot Permanent Way Siding Level 01;DEPOT;16179;FILE;51
L100000016279;;DEPOT;NED/PWYSID/02;NED/PWYSID;North East Line Depot Permanent Way Siding Level 02;DEPOT;16180;FILE;52
L100000017037;;TRAIN;RTVV01/RF;RTVV01;;TRAIN;16938;FILE;53
L100000017039;;TRAIN;RTVV01/SA;RTVV01;;TRAIN;16940;FILE;54
L100000017043;;TRAIN;RTVV01/SD;RTVV01;;TRAIN;16944;FILE;55
L100000017047;;TRAIN;RTVV01/UC;RTVV01;;TRAIN;16948;FILE;56
L100000017052;;TRAIN;RTVV02/RF;RTVV02;;TRAIN;16953;FILE;57
L100000017054;;TRAIN;RTVV02/SA;RTVV02;;TRAIN;16955;FILE;58
L100000017058;;TRAIN;RTVV02/SD;RTVV02;;TRAIN;16959;FILE;59
L100000017062;;TRAIN;RTVV02/UC;RTVV02;;TRAIN;16963;FILE;60
L100000017067;;TRAIN;RTVV03/RF;RTVV03;;TRAIN;16968;FILE;61
L100000017069;;TRAIN;RTVV03/SA;RTVV03;;TRAIN;16970;FILE;62
L100000017073;;TRAIN;RTVV03/SD;RTVV03;;TRAIN;16974;FILE;63
L100000017077;;TRAIN;RTVV03/UC;RTVV03;;TRAIN;16978;FILE;64
L100000017082;;TRAIN;RTVV04/RF;RTVV04;;TRAIN;16983;FILE;65
L100000017084;;TRAIN;RTVV04/SA;RTVV04;;TRAIN;16985;FILE;66
L100000017088;;TRAIN;RTVV04/SD;RTVV04;;TRAIN;16989;FILE;67
L100000017092;;TRAIN;RTVV04/UC;RTVV04;;TRAIN;16993;FILE;68
L100000017097;;TRAIN;RTVV05/RF;RTVV05;;TRAIN;16998;FILE;69
L100000017099;;TRAIN;RTVV05/SA;RTVV05;;TRAIN;17000;FILE;70
L100000017103;;TRAIN;RTVV05/SD;RTVV05;;TRAIN;17004;FILE;71
L100000017107;;TRAIN;RTVV05/UC;RTVV05;;TRAIN;17008;FILE;72
L100000017112;;TRAIN;RTVV06/RF;RTVV06;;TRAIN;17013;FILE;73
L100000017114;;TRAIN;RTVV06/SA;RTVV06;;TRAIN;17015;FILE;74
L100000017118;;TRAIN;RTVV06/SD;RTVV06;;TRAIN;17019;FILE;75
L100000017122;;TRAIN;RTVV06/UC;RTVV06;;TRAIN;17023;FILE;76
L100000017127;;TRAIN;RTVV07/RF;RTVV07;;TRAIN;17028;FILE;77
L100000017129;;TRAIN;RTVV07/SA;RTVV07;;TRAIN;17030;FILE;78
L100000017133;;TRAIN;RTVV07/SD;RTVV07;;TRAIN;17034;FILE;79
L100000017137;;TRAIN;RTVV07/UC;RTVV07;;TRAIN;17038;FILE;80
L100000017142;;TRAIN;RTVV08/RF;RTVV08;;TRAIN;17043;FILE;81
L100000017144;;TRAIN;RTVV08/SA;RTVV08;;TRAIN;17045;FILE;82
L100000017148;;TRAIN;RTVV08/SD;RTVV08;;TRAIN;17049;FILE;83
L100000017152;;TRAIN;RTVV08/UC;RTVV08;;TRAIN;17053;FILE;84
L100000017157;;TRAIN;RTVV09/RF;RTVV09;;TRAIN;17058;FILE;85
L100000017159;;TRAIN;RTVV09/SA;RTVV09;;TRAIN;17060;FILE;86
L100000017163;;TRAIN;RTVV09/SD;RTVV09;;TRAIN;17064;FILE;87
L100000017167;;TRAIN;RTVV09/UC;RTVV09;;TRAIN;17068;FILE;88
L100000017172;;TRAIN;RTVV10/RF;RTVV10;;TRAIN;17073;FILE;89
L100000017174;;TRAIN;RTVV10/SA;RTVV10;;TRAIN;17075;FILE;90
L100000017178;;TRAIN;RTVV10/SD;RTVV10;;TRAIN;17079;FILE;91
L100000017182;;TRAIN;RTVV10/UC;RTVV10;;TRAIN;17083;FILE;92
L100000017187;;TRAIN;RTVV11/RF;RTVV11;;TRAIN;17088;FILE;93
L100000017189;;TRAIN;RTVV11/SA;RTVV11;;TRAIN;17090;FILE;94
L100000017193;;TRAIN;RTVV11/SD;RTVV11;;TRAIN;17094;FILE;95
L100000017197;;TRAIN;RTVV11/UC;RTVV11;;TRAIN;17098;FILE;96
