Department;Department Description;Maintenance Entity;COSWIN ENTITY CODE;COSWIN STATUS;COSWIN ENTITY CODE DESCRIPTION
AM;Rail Asset Management Department;MMS;MMS;ACTIVE;Maintenance Management System
CSC;Rail Component Service Centre Department;EWS;EWS;ACTIVE;Electronic Workshop
CSC;Rail Component Service Centre Department;CSC;CSC;ACTIVE;Component Servicing Centre
CX_OPS;NEL/SPLRT Customer Experience and Operations;CX_OPS;OPS;ACTIVE;Rail Operations
CX_OPS;NEL/SPLRT Customer Experience and Operations;CX_OPS;OPS-TRN;ACTIVE;Operations Training
CX_OPS;NEL/SPLRT Customer Experience and Operations;CX_PS;OPS-PSG;ACTIVE;Operations Passenger Service
CX_TRF;NEL/SPLRT Traffic;CX_TRF;OPS-TRAFFIC;ACTIVE;Operations (Traffic) 
CYBER;Rail OT Cybersecurity Department;CYBER;;;
EM;Rail Engineering Management Department;AFC;AFC;ACTIVE;Automatic Fare Collection System
PWY;NEL/SPLRT Permanent Way and Civil Structures Department;CIV;INF;ACTIVE;Infrastructure
FM;NEL/SPLRT Facilities Management Department;FM;PMT;ACTIVE;Facilitities Management
FM;NEL/SPLRT Facilities Management Department;FM;CSB;ACTIVE;Cleaning Service (Schedule B)
FM;NEL/SPLRT Facilities Management Department;FM;CSA;ACTIVE;Cleaning Service (Schedule A)
FM;NEL/SPLRT Facilities Management Department;FM;LCM;ACTIVE;Landscape Mainline
FM;NEL/SPLRT Facilities Management Department;FM;RFM;INACTIVE;Refuse Disposal (Mainline)
FM;NEL/SPLRT Facilities Management Department;FM;PEM;ACTIVE;Pest (Mainline)
FM;NEL/SPLRT Facilities Management Department;FM;ABM;ACTIVE;Architectural Building Maint.(Mainline)
FM;NEL/SPLRT Facilities Management Department;LAE;LAE;ACTIVE;Lift And Escalator
FM;NEL/SPLRT Facilities Management Department;FPS;FPS;ACTIVE;Fire Protection System
FM;NEL/SPLRT Facilities Management Department;ECS;ECS;ACTIVE;Environmental Control System
FM;NEL/SPLRT Facilities Management Department;EAM;EAM;ACTIVE;Electrical And Mechanical
FM;NEL/SPLRT Facilities Management Department;FM;ABD;ACTIVE;Architectural Building Maint. (Depot)
FM;NEL/SPLRT Facilities Management Department;FM;RFD;INACTIVE;Refuse Disposal (Depot)
FM;NEL/SPLRT Facilities Management Department;FM;PED;ACTIVE;Pest (Depot)
FM;NEL/SPLRT Facilities Management Department;FM;LCD;ACTIVE;Landscape Depot
FM;NEL/SPLRT Facilities Management Department;FM;CSV;ACTIVE;Cleaning Service
FM;NEL/SPLRT Facilities Management Department;LFT;LFT;ACTIVE;Lift
FM;NEL/SPLRT Facilities Management Department;FM;GEN;ACTIVE;General
FM;NEL/SPLRT Facilities Management Department;CDD;CDD;ACTIVE;Civil Defence Door
FM;NEL/SPLRT Facilities Management Department;FM;SWP;INACTIVE;Sewage Pump
FM;NEL/SPLRT Facilities Management Department;SMP;SMP;INACTIVE;Sump Pump
FM;NEL/SPLRT Facilities Management Department;FRS;FRS;ACTIVE;Fire Roller Shutter
FM;NEL/SPLRT Facilities Management Department;NEDECS;NEDECS;ACTIVE;Depot Environmental Control System
FM;NEL/SPLRT Facilities Management Department;FM;NEDMECH;ACTIVE;Depot Mechanical Systems
FM;NEL/SPLRT Facilities Management Department;NEDFPS;NEDFAS;ACTIVE;Depot Fire Alarm System
FM;NEL/SPLRT Facilities Management Department;NEDFPS;NEDFPS;ACTIVE;Depot Fire Protection System
FM;NEL/SPLRT Facilities Management Department;ESC;ESC;ACTIVE;Escalator
FM;NEL/SPLRT Facilities Management Department;LFPS;LFPS;ACTIVE;SPLRT Fire Protection System
