OWNER;TABLE_NAME;TABLE_TYPE;COMMENTS;ORIGIN_CON_ID;NUM_ROWS;ID;
COSWIN;ACT_CATG;TABLE;The act_catg class encapsulates data and behaviour of action kind business object.;0;25;1;
COSWIN;ACT_PRD;TABLE;"The act_prd class stores the periodicity for jobs (and for actions). There  are 3 types of periodicity:
- time based (a number of time unit (day, week))
- meter based (a number of meter unit)
- time and meter based (both above).";0;0;2;
COSWIN;ADOPTED_PATTERN;TABLE;;0;2;3;
COSWIN;AD_ADDRESS;TABLE;;0;270;4;
COSWIN;AD_CONTACT;TABLE;;0;370;5;
COSWIN;ALT_ITEMS;TABLE;This table keeps links between alternate items.;0;302;6;
COSWIN;AN_TIME;TABLE;The AN_TIME class encapsulates analysis information for a given cost type in the year.;0;6051720;7;
COSWIN;ASSIGNED_EMPL;TABLE;;0;0;8;
COSWIN;ASSIGNED_SHIFT;TABLE;;0;0;9;
COSWIN;ASSIGNMENT;TABLE;;0;0;10;
COSWIN;ATTENDANCE_INTRF;TABLE;;0;0;11;
COSWIN;AUDIT_ALT_ITEMS;TABLE;;0;860;12;
COSWIN;AUDIT_BATCH_;TABLE;;0;545273;13;
COSWIN;AUDIT_COUNT_;TABLE;;0;1844;14;
COSWIN;AUDIT_DEM_ISS;TABLE;;0;207405;15;
COSWIN;AUDIT_DEM_ITEMS;TABLE;;0;408421;16;
COSWIN;AUDIT_DEVIS;TABLE;;0;565131;17;
COSWIN;AUDIT_DV_ITEMS;TABLE;;0;929249;18;
COSWIN;AUDIT_DV_RMK;TABLE;;0;0;19;
COSWIN;AUDIT_EQP_ACT;TABLE;;0;0;20;
COSWIN;AUDIT_EQP_DEFR;TABLE;;0;183148;21;
COSWIN;AUDIT_EQP_GROUP;TABLE;;0;393539;22;
COSWIN;AUDIT_EQP_JOBR;TABLE;;0;24543582;23;
COSWIN;AUDIT_EQP_JOBS;TABLE;;0;1285477;24;
COSWIN;AUDIT_EQP_MOVE;TABLE;;0;226330;25;
COSWIN;AUDIT_EQP_RES;TABLE;;0;0;26;
COSWIN;AUDIT_EQP_SRL;TABLE;;0;39639;27;
COSWIN;AUDIT_EQP_STOCK;TABLE;;0;0;28;
COSWIN;AUDIT_EQP_TOPO;TABLE;;0;634979;29;
COSWIN;AUDIT_HIS_HO;TABLE;;0;619349;30;
COSWIN;AUDIT_INVOICE_;TABLE;;0;241162;31;
COSWIN;AUDIT_INV_ITEMS;TABLE;;0;110297;32;
COSWIN;AUDIT_INV_RMK;TABLE;;0;0;33;
COSWIN;AUDIT_ISS_ITEMS;TABLE;;0;131225;34;
COSWIN;AUDIT_ITEM_;TABLE;;0;4763203;35;
