ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1737;DB2_0001_Check_Connection;1186;SSIS03;COSWIN;"SERVER_HOST=localhost; INSTANCE_NAME=MMS3; DB_NAME=MMS3; SCHEMA=COSWIN";2024-12-01-13.08.54.411000
1738;DB2_0001_Check_Connection;1187;SSIS01;COSWIN;"SERVER_HOST=localhost; INSTANCE_NAME=MMS3; DB_NAME=MMS3; SCHEMA=COSWIN";2024-12-01-13.09.56.483000
1739;DB2_0001_Check_Connection;1188;LENOVO-YOGA;COSWIN;"SERVER_HOST=localhost; INSTANCE_NAME=MMS3; DB_NAME=MMS3; SCHEMA=COSWIN";2024-12-01-12.11.00.149000
1740;DB2_0003_Master_Locations_CLEAN;1189;FM_FACILITY;ALREADY-EXIST;CNT=0;2024-12-01-12.19.30.610000
1741;DB2_0003_Master_Locations_CLEAN;1189;FM_FACILITY;MIGRATED;CNT=65;2024-12-01-12.19.30.619000
1742;DB2_0003_Master_Locations_CLEAN;1189;STORES;ALREADY-EXIST;CNT=0;2024-12-01-12.19.34.518000
1743;DB2_0003_Master_Locations_CLEAN;1189;STORES;MIGRATED;CNT=55;2024-12-01-12.19.34.608000
1744;DB2_0003_Master_Locations_CLEAN;1189;FILE;ALREADY-EXIST;CNT=0;2024-12-01-12.19.38.569000
1745;DB2_0003_Master_Locations_CLEAN;1189;FILE;MIGRATED;CNT=228;2024-12-01-12.19.38.571000
1748;DB2_0003_Master_Locations_CLEAN;1191;FM_FACILITY;MIGRATED;CNT=65;2024-12-01-13.31.24.751000
1749;DB2_0003_Master_Locations_CLEAN;1191;FM_FACILITY;ALREADY-EXIST;CNT=0;2024-12-01-13.31.24.739000
1750;DB2_0003_Master_Locations_CLEAN;1191;STORES;ALREADY-EXIST;CNT=0;2024-12-01-13.31.28.243000
1751;DB2_0003_Master_Locations_CLEAN;1191;STORES;MIGRATED;CNT=55;2024-12-01-13.31.28.385000
1752;DB2_0003_Master_Locations_CLEAN;1191;FILE;ALREADY-EXIST;CNT=0;2024-12-01-13.31.32.724000
1753;DB2_0003_Master_Locations_CLEAN;1191;FILE;MIGRATED;CNT=228;2024-12-01-13.31.32.740000
1746;DB2_0005_Master_Classification_ClassStructure_CLEA;1190;CLASSIFICATION;MIGRATED;CNT=1;2024-12-01-12.26.39.090000
1747;DB2_0005_Master_Classification_ClassStructure_CLEA;1190;CLASSSTRUCTURE;MIGRATED;CNT=1;2024-12-01-12.26.41.371000
1754;DB2_0005_Master_Classification_ClassStructure_CLEA;1192;CLASSIFICATION;MIGRATED;CNT=1;2024-12-01-13.31.42.602000
1755;DB2_0005_Master_Classification_ClassStructure_CLEA;1192;CLASSSTRUCTURE;MIGRATED;CNT=1;2024-12-01-13.31.44.719000
1761;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1194;ITEM;MIGRATED;CNT=22630;2024-12-01-13.32.20.197000
1767;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1194;NSITEM;MIGRATED;CNT=39616;2024-12-01-13.33.08.757000
1776;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1194;DIR_STOCK;ALREADY-EXIST;CNT=3290;2024-12-01-13.33.36.062000
1777;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1194;DIR_STOCK;MIGRATED;CNT=1692;2024-12-01-13.33.36.547000
