LOCATIONTYPE;LOCATIONCODE
DEPOT;01FD01
DEPOT;01FD02
DEPOT;01FD1
DEPOT;01FD2
DEPOT;01FD3
DEPOT;01FD4
DEPOT;02FD1
DEPOT;02FD2
DEPOT;02FD3
DEPOT;02FD4
DEPOT;03FD1
DEPOT;03FD2
DEPOT;03FD3
DEPOT;03FD4
DEPOT;04FD1
DEPOT;04FD2
DEPOT;04FD3
DEPOT;04FD4
DEPOT;05FD1
DEPOT;05FD2
DEPOT;05FD3
DEPOT;05FD4
DEPOT;06FD1
DEPOT;06FD2
DEPOT;06FD3
DEPOT;06FD4
DEPOT;07FD1
DEPOT;07FD2
DEPOT;07FD3
DEPOT;07FD4
DEPOT;08FD1
DEPOT;08FD2
DEPOT;08FD3
DEPOT;08FD4
DEPOT;09FD1
DEPOT;09FD2
DEPOT;09FD3
DEPOT;09FD4
DEPOT;10FD1
DEPOT;10FD2
DEPOT;10FD3
DEPOT;10FD4
DEPOT;11FD1
DEPOT;11FD2
DEPOT;11FD3
DEPOT;11FD4
DEPOT;12FD1
DEPOT;12FD2
DEPOT;12FD3
DEPOT;12FD4
DEPOT;13FD1
DEPOT;13FD2
DEPOT;13FD3
DEPOT;13FD4
DEPOT;14FD1
DEPOT;14FD2
DEPOT;14FD3
DEPOT;14FD4
DEPOT;15FD1
DEPOT;15FD2
DEPOT;15FD3
DEPOT;15FD4
DEPOT;16FD1
DEPOT;16FD2
DEPOT;16FD3
DEPOT;17FD1
DEPOT;17FD2
DEPOT;17FD3
DEPOT;17FD4
DEPOT;18FD1
DEPOT;18FD2
DEPOT;18FD3
DEPOT;18FD4
DEPOT;AB03
DEPOT;CAU-01
DEPOT;CAU-02
DEPOT;CAU-03
DEPOT;CAU-04
DEPOT;CAU-05
DEPOT;CAU-06
DEPOT;CAU-07
DEPOT;CAU-08
DEPOT;CAU-09
DEPOT;CAU-10
DEPOT;CAU-11
DEPOT;CAU-12
DEPOT;CAU-13
DEPOT;CAU-14
DEPOT;CAU-15
DEPOT;CAU-16
DEPOT;CAU-17
DEPOT;CAU-18
DEPOT;CAU-19
DEPOT;CAU-20
DEPOT;CAU-21
DEPOT;CAU-22
DEPOT;CAU-23
DEPOT;CAU-24
DEPOT;CAU-25
DEPOT;CAU-26
DEPOT;CAU-27
DEPOT;CAU-28
DEPOT;CAU-29
DEPOT;CAU-30
DEPOT;CAU-31
DEPOT;CAU-32
DEPOT;CAU-33
DEPOT;CRC01
DEPOT;CRC02
DEPOT;CRC03
DEPOT;CRC04
DEPOT;CRC05
DEPOT;CRC06
DEPOT;CRC07
DEPOT;CRC08
DEPOT;CRC09
DEPOT;CRC10
DEPOT;CRC11
DEPOT;CRC12
DEPOT;CRC13
DEPOT;CRC14
DEPOT;CRC15
DEPOT;CRC16
DEPOT;CRC17
DEPOT;CRC18
DEPOT;DEP/01
DEPOT;DEP/02
DEPOT;DEP/OCC
DEPOT;DEPOTDS
DEPOT;DM-01
DEPOT;DM-02
DEPOT;DM-03
DEPOT;DM-04
DEPOT;DM-05
DEPOT;DM-06
DEPOT;DM-07
DEPOT;DM-08
DEPOT;DM-09
DEPOT;DS
DEPOT;EQPT
DEPOT;GM28
DEPOT;IDS
DEPOT;IEI
DEPOT;IOM-01
DEPOT;IOM-02
DEPOT;IOM-03
DEPOT;IOM-04
DEPOT;IOM-05
DEPOT;IOM-06
DEPOT;IOM-07
DEPOT;IOM-08
DEPOT;IOM-09
DEPOT;IOM-10
DEPOT;IOM-11
DEPOT;IOM-12
DEPOT;IOM-13
DEPOT;IOM-14
DEPOT;IOM-15
DEPOT;IOM-16
DEPOT;IOM-17
DEPOT;IOM-18
DEPOT;IOM-19
DEPOT;IOM-20
DEPOT;IOM-21
DEPOT;IOM-22
DEPOT;IOM-23
DEPOT;IOM-24
DEPOT;IOM-25
DEPOT;IOM-26
DEPOT;IOM-27
DEPOT;IOM-28
DEPOT;IOM-29
DEPOT;IOM-30
DEPOT;IOM-31
DEPOT;IOM-32
DEPOT;IOM-33
DEPOT;IOS-01
DEPOT;IOS-02
DEPOT;IOS01
DEPOT;LCR01
DEPOT;MCAFEE
DEPOT;NA
DEPOT;NED/ANCB/02
DEPOT;NED/LOCOWS/R
DEPOT;NED/MOFFICE/05
DEPOT;NED/MOFFICE/06
DEPOT;NED/OCC
DEPOT;NED/PWYSID/01
DEPOT;NED/PWYSID/02
DEPOT;OCCDS01
DEPOT;OCCDS02
DEPOT;PGLDG1
DEPOT;PGLDG2
DEPOT;PGLSC
DEPOT;PRI
DEPOT;RTSDG01
DEPOT;RTSDG03
DEPOT;RTSDG05
DEPOT;RTSDG07
DEPOT;RTSSDG01
DEPOT;RTSSDG03
DEPOT;RTSSDG05
DEPOT;RTSSDG07
DEPOT;SBS01
DEPOT;SC01
DEPOT;SC02
DEPOT;SC03
DEPOT;SC04
DEPOT;SC07
DEPOT;SC16
DEPOT;SKGDG1
DEPOT;SKGDG2
DEPOT;SKGSC
DEPOT;SSDM-01
DEPOT;SSDM-02
DEPOT;SSDM-03
DEPOT;SSDM-04
DEPOT;SSIOM-01
DEPOT;SSIOM-02
DEPOT;SSIOM-03
DEPOT;SSIOM-04
DEPOT;SSIOM-05
DEPOT;SSIOM-06
DEPOT;SW01
DEPOT;SW02
DEPOT;SW03
DEPTRK;
DEPTRK;01FD1
DEPTRK;01FD2
DEPTRK;01FD3
DEPTRK;01FD4
DEPTRK;02FD1
DEPTRK;02FD2
DEPTRK;02FD3
DEPTRK;03FD1
DEPTRK;03FD2
DEPTRK;03FD3
DEPTRK;03FD4
DEPTRK;04FD1
DEPTRK;04FD2
DEPTRK;04FD3
DEPTRK;04FD4
DEPTRK;05FD1
DEPTRK;05FD2
DEPTRK;05FD3
DEPTRK;05FD4
DEPTRK;06FD1
DEPTRK;06FD2
DEPTRK;CAU-01
DEPTRK;CAU-02
DEPTRK;CAU-03
DEPTRK;CAU-04
DEPTRK;CAU-05
DEPTRK;CAU-06
DEPTRK;CAU-07
DEPTRK;CAU-08
DEPTRK;CAU-09
DEPTRK;CAU-10
DEPTRK;CAU-11
DEPTRK;CRC01
DEPTRK;CRC02
DEPTRK;CRC03
DEPTRK;CRC04
DEPTRK;CRC05
DEPTRK;CRC06
DEPTRK;DEP/D_DDT2
DEPTRK;DEP/D_DTT1
DEPTRK;DEP/D_DTT2
DEPTRK;DEP/D_IT1
DEPTRK;DEP/D_ST1
DEPTRK;DEP/D_ST2
DEPTRK;DEP/D_ST3
DEPTRK;DEP/D_ST4
DEPTRK;DEP/D_ST5
DEPTRK;DEP/D_TT
DEPTRK;DEP/D_VWP
DEPTRK;DEP/D_WT2
DEPTRK;DEP/D_WT3
DEPTRK;DEP/D_WT4
DEPTRK;DEP/D_WT5
DEPTRK;DEP/D_WT6
DEPTRK;DEP/D_WT7
DEPTRK;DEP/IT01
DEPTRK;DEP/ST1
DEPTRK;DEP/ST2
DEPTRK;DEP/ST3
DEPTRK;DEP/ST4
DEPTRK;DEP/ST5
DEPTRK;DEP/TT 
DEPTRK;DEP/W1
DEPTRK;DW
DEPTRK;EQPT
DEPTRK;IOM-01
DEPTRK;IOM-02
DEPTRK;IOM-03
DEPTRK;IOM-04
DEPTRK;IOM-05
DEPTRK;IOM-06
DEPTRK;IOM-07
DEPTRK;IOM-08
DEPTRK;IOM-09
DEPTRK;IOM-10
DEPTRK;IOM-11
DEPTRK;IOS-01
DEPTRK;IOS-02
DEPTRK;IOS-03
DEPTRK;IOS-04
DEPTRK;IOS01
DEPTRK;NED/B3R1
DEPTRK;NED/CS_B1
DEPTRK;NED/DWE
DEPTRK;NED/R1R2
DEPTRK;NED/R2DW
DEPTRK;NED/R2TT
DEPTRK;NED/R3
DEPTRK;NED/RT1RT2
DEPTRK;NED/X01
DEPTRK;NED/X02
DEPTRK;NED/X03
DEPTRK;NED/X04
DEPTRK;NED/X05
DEPTRK;NED/XRT
STATION;01FD1
STATION;01FD2
STATION;01FD3
STATION;01FD4
STATION;02FD1
STATION;02FD2
STATION;02FD3
STATION;02FD4
STATION;03FD1
STATION;03FD2
STATION;03FD3
STATION;03FD4
STATION;04FD1
STATION;04FD2
STATION;04FD3
STATION;04FD4
STATION;05FD1
STATION;05FD2
STATION;05FD3
STATION;05FD4
STATION;06FD1
STATION;06FD2
STATION;06FD3
STATION;06FD4
STATION;07FD1
STATION;07FD2
STATION;07FD3
STATION;07FD4
STATION;08FD1
STATION;08FD2
STATION;08FD3
STATION;08FD4
STATION;09FD1
STATION;09FD2
STATION;09FD3
STATION;09FD4
STATION;10FD1
STATION;10FD2
STATION;10FD3
STATION;10FD4
STATION;11FD1
STATION;11FD2
STATION;11FD3
STATION;11FD4
STATION;12FD1
STATION;12FD2
STATION;12FD3
STATION;12FD4
STATION;13FD1
STATION;13FD2
STATION;13FD3
STATION;13FD4
STATION;14FD1
STATION;14FD2
STATION;14FD3
STATION;14FD4
STATION;15FD1
STATION;15FD2
STATION;15FD3
STATION;15FD4
STATION;16FD1
STATION;16FD2
STATION;16FD3
STATION;16FD4
STATION;17FD1
STATION;17FD2
STATION;17FD3
STATION;17FD4
STATION;18FD1
STATION;18FD2
STATION;18FD3
STATION;18FD4
STATION;19FD1
STATION;19FD2
STATION;19FD3
STATION;19FD4
STATION;20FD1
STATION;20FD2
STATION;20FD3
STATION;20FD4
STATION;21FD1
STATION;21FD2
STATION;21FD3
STATION;21FD4
STATION;22FD1
STATION;22FD2
STATION;22FD3
STATION;22FD4
STATION;23FD1
STATION;23FD2
STATION;23FD3
STATION;24FD1
STATION;24FD2
STATION;24FD3
STATION;AB01
STATION;AB02
STATION;BGK/02
STATION;BGK/03
STATION;BGKDS
STATION;BNK/02
STATION;BNKDS
STATION;CAU-01
STATION;CAU-02
